name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Linyi,1/24/22,3.4,-1.3,0.8,3.2,-2.3,0.1,-1.2,87,1.3,100,8.33,"rain,snow",0.2,0.6,16.9,7.9,160.7,1026,52.5,11.4,77.1,6.7,3,10,2022-01-24T07:41:31,2022-01-24T17:56:48,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"53959099999,remote"
Linyi,1/25/22,7.1,-1.3,2,6.3,-3.2,1.1,-1.8,77.5,0,0,0,,0,0.1,13.7,10.8,173.5,1025.1,50.7,17.8,129.5,11.1,4,10,2022-01-25T07:40:59,2022-01-25T17:57:49,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/26/22,3.2,0.1,1.7,1.7,-2.9,-1,-1.7,78.7,0.3,100,12.5,"rain,snow",1.5,0.5,22.3,14,90.6,1026.1,61.2,15.4,77.4,6.7,3,10,2022-01-26T07:40:25,2022-01-26T17:58:51,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"53959099999,remote"
Linyi,1/27/22,2.2,-1,0.3,2.2,-2.4,-0.4,-0.6,93.9,1.2,100,16.67,"rain,snow",1.2,1.9,18.7,6.8,162.5,1030.9,65.9,5.5,72.9,6.2,2,10,2022-01-27T07:39:49,2022-01-27T17:59:52,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"53959099999,remote"
Linyi,1/28/22,3.1,-1.2,0.4,1.6,-3.3,-0.6,-1.5,88,2.5,100,16.67,"rain,snow",0.1,2,17.6,10.4,240.6,1030.7,68.5,14.7,88.2,7.7,4,10,2022-01-28T07:39:11,2022-01-28T18:00:54,0.91,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"53959099999,remote"
Linyi,1/29/22,3.7,-3.6,-0.3,3.7,-4.8,-1.3,-3.5,81.7,0,0,0,,0,1.2,14.4,9,164.6,1026.4,38.5,16.4,155.3,13.4,5,10,2022-01-29T07:38:32,2022-01-29T18:01:56,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,1/30/22,3.7,-4.1,-0.6,0.5,-6.7,-2.4,-3.5,81,0,0,0,,0,1,22.3,18.4,173.2,1027.1,30.6,17.7,152.2,13.2,5,10,2022-01-30T07:37:51,2022-01-30T18:02:58,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/31/22,3.7,-3.4,-1,1.6,-9.8,-4.8,-14.3,37.6,0,0,0,,0,1,43.9,24.1,290.6,1031.6,20.3,18.7,174.9,15.4,6,10,2022-01-31T07:37:09,2022-01-31T18:03:59,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/1/22,5.2,-5.4,-0.6,3.8,-7.7,-2.3,-12.7,41.9,0,0,0,,0,0.3,28.1,9,70.7,1031.7,40.2,18.7,143.1,12.5,5,10,2022-02-01T07:36:25,2022-02-01T18:05:01,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,2/2/22,4.7,-4.9,0.3,4.7,-6.1,-1.2,-9,51.5,0,0,0,,0,0,23.4,9.7,195.1,1031,42.5,18.4,158.5,13.8,5,10,2022-02-02T07:35:39,2022-02-02T18:06:03,0.01,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,2/3/22,10.1,-3.9,1.9,10.1,-7.3,-0.1,-8.4,48.3,0,0,0,,0,0,22,10.4,83,1027,29.3,18.4,154.1,13.3,5,10,2022-02-03T07:34:52,2022-02-03T18:07:04,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,2/4/22,7.2,-1.9,0.9,5.2,-6.6,-2.2,-12,41.7,0,0,0,,0,0,42.1,31.7,253,1031.7,13.4,18.7,177,15.4,6,10,2022-02-04T07:34:03,2022-02-04T18:08:06,0.07,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,2/5/22,4.7,-4.8,-0.3,3.7,-7.3,-3,-13.7,37.1,0,0,0,,0,0,23.8,12.2,65.6,1033.5,50.7,18.8,109,9.4,4,10,2022-02-05T07:33:13,2022-02-05T18:09:07,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/6/22,4.6,-1.5,0.1,3.1,-5.2,-2.8,-7.9,55.7,0.5,100,16.67,"rain,snow",0.2,0.2,24.5,15.5,74.7,1031,74.3,16.8,93.2,8,4,10,2022-02-06T07:32:22,2022-02-06T18:10:08,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"53959099999,remote"
Linyi,2/7/22,3.7,-2.6,0,2.2,-5.9,-2.3,-8.5,54.5,0.1,100,4.17,"rain,snow",0,0.1,27,15.8,155.9,1029.1,46.5,18.6,114.7,10.1,4,10,2022-02-07T07:31:28,2022-02-07T18:11:09,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"53959099999,remote"
Linyi,2/8/22,5.1,-2.4,0.4,4,-4.5,-0.5,-5.8,64.7,0,0,0,,0,0,27,8.6,273.8,1030.7,55.1,18.2,130.1,11.2,4,10,2022-02-08T07:30:34,2022-02-08T18:12:09,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/9/22,6.7,-4.1,1.1,6.7,-4.1,0,-5.6,62.8,0,0,0,,0,0,20.9,11.2,227.1,1025.7,26.4,18,180.7,15.9,6,10,2022-02-09T07:29:38,2022-02-09T18:13:10,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,2/10/22,10.2,-3.1,2.9,10.2,-5.2,1.9,-7.1,50.6,0.1,100,4.17,snow,0,0,20.9,10.8,74.1,1023.5,46.9,17.5,153.6,13.2,6,10,2022-02-10T07:28:41,2022-02-10T18:14:10,0.34,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"53959099999,remote"
Linyi,2/11/22,10.6,-0.3,3.9,10.6,-2.3,3,-6.1,49.6,0,0,0,,0,0,22.7,9.7,79.4,1024.2,41,18.2,153,13.1,5,10,2022-02-11T07:27:43,2022-02-11T18:15:10,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/12/22,10.1,0.6,4.2,10.1,-2.8,3.1,-4,56.9,0,0,0,,0,0,22.7,10.8,122.1,1024.1,63.2,18.4,143.2,12.4,5,10,2022-02-12T07:26:43,2022-02-12T18:16:09,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/13/22,10.1,0.1,4.6,10.1,-3.5,2.7,-2.9,59.5,0,0,0,,0,0,34.6,16.9,139.2,1020.4,14.2,18.4,175.5,15.3,5,10,2022-02-13T07:25:42,2022-02-13T18:17:08,0.45,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,2/14/22,9.7,-0.9,4,7.6,-3,1.8,-4.6,57.4,0,0,0,,0,0,27.7,16.2,90.5,1023.8,30.9,18.1,170.6,14.8,6,10,2022-02-14T07:24:40,2022-02-14T18:18:07,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/15/22,10.6,-1.1,3.8,10.6,-4.6,1.8,-2.4,66.5,0,0,0,,0,0,31.3,19.4,99.2,1022,5.5,18.2,194.9,16.9,6,10,2022-02-15T07:23:36,2022-02-15T18:19:06,0.49,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,2/16/22,6.4,-1.6,2.2,2.7,-4.7,-1.5,-4,64.6,0,0,0,,0,0,36.7,22,117.4,1023,31.8,18.4,164.4,14.4,5,10,2022-02-16T07:22:32,2022-02-16T18:20:04,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,2/17/22,2.3,-2.5,0,-1.8,-6.6,-4.6,-7.2,58.9,0,0,0,snow,0,0.1,43.2,25.2,120.8,1026.4,64.5,17.4,149.2,13.1,5,10,2022-02-17T07:21:26,2022-02-17T18:21:02,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/18/22,2.7,-3.4,-0.8,-0.1,-7,-3.1,-4.7,76.3,3.5,100,12.5,"rain,snow",0.7,0.5,43.6,21.6,190.4,1030.3,63.9,13.4,86.5,7.4,3,10,2022-02-18T07:20:19,2022-02-18T18:22:00,0.52,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"53959099999,remote"
Linyi,2/19/22,5.2,-2.3,0.9,4.4,-8.6,-1.7,-13.6,37.1,0,0,0,,0,0.2,47.5,25.2,256,1035.1,54.5,18.4,191.1,16.8,6,10,2022-02-19T07:19:12,2022-02-19T18:22:57,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/20/22,6.9,-4.1,0.6,5.5,-7.3,-1.2,-12.3,40.3,0,0,0,,0,0,25.2,11.2,169.7,1032.8,39.5,18.6,207.3,18.1,6,10,2022-02-20T07:18:03,2022-02-20T18:23:54,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/21/22,9.9,-2.8,3,9.9,-2.8,2,-12.6,35.1,0,0,0,,0,0,21.6,12.2,184.7,1031.3,58.4,18.7,204.7,17.7,7,10,2022-02-21T07:16:53,2022-02-21T18:24:51,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/22/22,9.2,-1.4,3.5,9.2,-3.3,2.1,-14,28.2,0,0,0,,0,0,21.6,10.8,59.2,1033.3,51.8,18.7,192,16.7,7,10,2022-02-22T07:15:42,2022-02-22T18:25:47,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/23/22,9.2,-1.6,3.4,7.1,-4.7,0.7,-9.3,39.8,0,0,0,,0,0,25.2,15.1,91.5,1031.8,43.9,18.6,191.5,16.6,6,10,2022-02-23T07:14:31,2022-02-23T18:26:43,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,2/24/22,13.7,-0.1,5.1,13.7,-1.9,3.7,-4.6,51.2,0,0,0,,0,0,25.2,8.6,113.6,1028.5,2.1,18.7,215.5,18.8,7,10,2022-02-24T07:13:18,2022-02-24T18:27:38,0.79,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,2/25/22,15.4,-0.4,7.9,15.4,-1.1,7.6,-3.1,48.3,0,0,0,,0,0,21.6,14.4,166.2,1023,25,18.7,210.9,18.4,7,10,2022-02-25T07:12:05,2022-02-25T18:28:34,0.84,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,2/26/22,14.9,2.7,8.2,14.9,0.3,6.4,-10.1,29.3,0,0,0,,0,0,54.4,27.7,234.2,1025.1,8.4,18.9,232,20.3,7,10,2022-02-26T07:10:50,2022-02-26T18:29:29,0.89,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,2/27/22,18.6,1.4,9.7,18.6,-1.9,8.6,-7.7,29.7,0,0,0,,0,0,32.4,20.9,95.1,1017,25.8,19.2,195.3,17,7,10,2022-02-27T07:09:35,2022-02-27T18:30:23,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,2/28/22,16.4,5,10.1,16.4,3.5,9,-6.8,34.2,0,0,0,,0,0,55.1,38.2,306.5,1019,43,19,177.7,15.5,6,10,2022-02-28T07:08:20,2022-02-28T18:31:17,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/1/22,12.4,1.1,6.4,12.4,-2.4,4,-11.8,27.4,0,0,0,,0,0,61.9,37.4,270.2,1026.1,38.6,18.9,213.8,16.5,7,10,2022-03-01T07:07:03,2022-03-01T18:32:11,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/2/22,14.6,-0.6,7.3,14.6,-3.2,6.9,-10,30.5,0,0,0,,0,0,21.6,11.2,180,1021,0,18.8,238.2,17.1,7,10,2022-03-02T07:05:46,2022-03-02T18:33:05,1,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,3/3/22,15,1.2,8.6,15,1.1,8.5,-6.2,36.3,0,0,0,,0,0,18,8.6,154.5,1017.8,44.3,18.4,151.2,10.9,4,10,2022-03-03T07:04:28,2022-03-03T18:33:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/4/22,19.9,2.2,11.1,19.9,2.2,10.9,-4.8,36.1,0,0,0,,0,0,29.2,20.2,246.9,1018,24.6,19,229,16.4,7,10,2022-03-04T07:03:10,2022-03-04T18:34:51,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,3/5/22,18.2,4.4,11.1,18.2,2.6,10.7,-8,27.5,0,0,0,,0,0,32.4,14.4,110.9,1019.1,49.6,18.9,201.3,14.3,6,10,2022-03-05T07:01:50,2022-03-05T18:35:44,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/6/22,14.9,6.2,10.4,14.9,4,9.7,-2.7,40.3,0,0,0,rain,0,0,32.4,14.4,131.8,1019.7,62.4,17.7,143.9,10.3,4,10,2022-03-06T07:00:31,2022-03-06T18:36:36,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/7/22,19.7,5.2,11.8,19.7,2.5,11.1,-4.2,36.3,0.1,100,4.17,rain,0,0,33.8,16.9,199.9,1018.9,1.8,18.5,255.7,19.2,7,10,2022-03-07T06:59:11,2022-03-07T18:37:28,0.12,Rain,Clear conditions throughout the day with afternoon rain.,rain,"53959099999,remote"
Linyi,3/8/22,22.7,7.2,13.9,22.7,5.2,13.3,-1.3,36.2,0,0,0,,0,0,32.4,13,84.6,1012.3,0.2,18.4,243.9,21,7,10,2022-03-08T06:57:50,2022-03-08T18:38:20,0.16,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,3/9/22,21.9,9.2,15,21.9,7.9,14.8,3.7,47.8,0,0,0,,0,0,39.6,17.6,101.5,1014.6,48.1,19,195.8,16.9,6,10,2022-03-09T06:56:29,2022-03-09T18:39:11,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/10/22,24.4,9.9,16.3,24.4,9.9,16.3,5.7,51.6,0,0,0,,0,0,28.8,11.2,100.1,1011.6,13.7,18.6,243,20.9,7,10,2022-03-10T06:55:07,2022-03-10T18:40:02,0.25,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,3/11/22,27.2,12.8,19,26.4,12.8,18.9,7.1,47.4,0.1,100,4.17,rain,0,0,59,37.1,99.9,1009,18.3,18.2,238.7,20.5,7,10,2022-03-11T06:53:45,2022-03-11T18:40:53,0.3,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"53959099999,remote"
Linyi,3/12/22,20.9,12.4,16.4,20.9,12.4,16.4,11.5,74.2,10,100,8.33,rain,0,0,51.5,27,161.2,1008.8,51.6,16.2,144,12.5,7,10,2022-03-12T06:52:23,2022-03-12T18:41:44,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"53959099999,remote"
Linyi,3/13/22,24.2,11.4,17.4,24.2,11.4,17.4,10.2,65,0,0,0,,0,0,36,18,90.9,1006.8,3.5,18.1,249.9,21.7,7,10,2022-03-13T06:51:00,2022-03-13T18:42:35,0.39,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,3/14/22,22.4,12.4,17.5,22.4,12.4,17.5,-0.7,35.2,0,0,0,,0,0,52.6,29.2,173.1,1014.8,22.6,17.7,259.7,22.4,8,10,2022-03-14T06:49:37,2022-03-14T18:43:25,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,3/15/22,23.7,12.5,17.5,23.7,12.5,17.5,1.3,36.5,0,0,0,,0,0,25.2,14.8,201.4,1010.4,54.4,17.7,228.9,19.6,7,10,2022-03-15T06:48:13,2022-03-15T18:44:15,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/16/22,16.6,9.4,13.1,16.6,7.9,13,5.5,64.9,2.9,100,12.5,rain,0,0,28.8,16.6,122.7,1012.1,65.3,14.8,18.8,1.8,1,10,2022-03-16T06:46:50,2022-03-16T18:45:05,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"53959099999,remote"
Linyi,3/17/22,11.7,6.5,8.3,11.7,4.2,6.3,3.3,70.8,0,0,0,,0,0,36,18,105.8,1018.5,65.3,17.6,74.3,6.4,2,10,2022-03-17T06:45:26,2022-03-17T18:45:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/18/22,17.1,3.7,10,17.1,2.1,9.3,4.3,68.8,0,0,0,rain,0,0,36,14,169.4,1011.9,42.1,17.5,214.3,18.2,7,10,2022-03-18T06:44:02,2022-03-18T18:46:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/19/22,11.4,4,8.1,11.4,0.8,6.2,-1,53.4,0,0,0,,0,0,46.8,21.6,101.2,1014.5,52.5,17.6,93.7,7.8,4,10,2022-03-19T06:42:37,2022-03-19T18:47:33,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/20/22,12.7,3,7.9,12.7,1,6.9,-1.1,53.4,0.1,100,4.17,rain,0,0,46.8,14.4,125.6,1017.6,59.4,17.5,226.8,19.6,7,10,2022-03-20T06:41:13,2022-03-20T18:48:22,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"53959099999,remote"
Linyi,3/21/22,12.1,6.1,8.5,12.1,4,7.2,2.3,65.3,0.2,100,4.17,rain,0,0,36,14.4,107.8,1020.4,66.6,17.3,108.1,9.5,3,10,2022-03-21T06:39:48,2022-03-21T18:49:11,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"53959099999,remote"
Linyi,3/22/22,10.8,4.3,7.9,10.8,1.2,6.4,0.7,61.9,0,0,0,,0,0,36,18,122.3,1023.7,56.4,17.5,150.6,13,6,10,2022-03-22T06:38:24,2022-03-22T18:50:00,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,3/23/22,19.2,2.7,10.3,19.2,1.4,9.9,4,68.7,0,0,0,,0,0,28.8,12.2,178,1015.7,17.6,17.6,262.1,22.7,9,10,2022-03-23T06:36:59,2022-03-23T18:50:49,0.66,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,3/24/22,20.1,7.2,13.5,20.1,5.9,13.2,4.2,54.6,0,0,0,,0,0,36,16.9,102,1004.4,63.3,17.8,140.1,11.9,6,10,2022-03-24T06:35:35,2022-03-24T18:51:38,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
